File Name,LTTPP-11-15-18,,,,
Date,2018-11-15,,,,
Time,10:44:4,,,,
Test Info,User had no comments,,,,
Directory,C:\emms\test\LTTPP-11-15-18.csv,,,,
,,,,,
Time (Formatted),Time (Seconds),EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
"5m, 1s",301.1,886,3000,1,0
"10m, 2s",602.3,886,3000,1,0
"15m, 3s",903.4,888,3000,2,0
"20m, 4s",1204.4,884,3000,3,0
"25m, 5s",1505.5,886,3000,4,0
"30m, 6s",1806.6,868,3000,4,0
"35m, 7s",2107.6,870,3000,5,0
"40m, 8s",2408.7,872,3000,6,0
"45m, 9s",2709.8,872,3000,7,0
"50m, 10s",3010.8,870,3000,7,0
"55m, 11s",3311.9,872,3000,8,0
"1h, 13s",3613.0,868,3000,9,0
"1h, 5m, 14s",3914.1,870,3000,9,0
"1h, 10m, 15s",4215.2,870,3000,10,0
"1h, 15m, 16s",4516.2,870,3000,11,0
"1h, 20m, 17s",4817.3,872,3000,12,0
"1h, 25m, 18s",5118.4,874,3000,12,0
"1h, 30m, 19s",5419.5,872,3000,13,0
"1h, 35m, 20s",5720.6,870,3000,14,0
"1h, 40m, 21s",6021.7,874,3000,15,0
"1h, 45m, 22s",6322.7,874,3000,15,0
"1h, 50m, 23s",6623.8,874,3000,16,0
"1h, 55m, 24s",6924.9,870,3000,17,0
"5h, 34m, 48s",20088.4,872,3000,49,0
"5h, 39m, 49s",20389.6,874,3000,50,0
"5h, 44m, 50s",20690.8,874,3000,50,0
"5h, 49m, 51s",20991.9,872,3000,51,0
"5h, 54m, 53s",21293.0,872,3000,52,0
"5h, 59m, 54s",21594.1,872,3000,53,0
"6h, 4m, 55s",21895.2,872,3000,53,0
"6h, 9m, 56s",22196.3,868,3000,54,0
"6h, 14m, 57s",22497.3,870,3000,55,0
"6h, 19m, 58s",22798.4,868,3000,56,0
"6h, 24m, 59s",23099.5,868,3000,56,0
"6h, 30m, 0s",23400.6,866,3000,57,0
"6h, 35m, 1s",23701.6,866,3000,58,0
